name,marketHashName,BUFF,C5,HALOSKINS,YOUPIN
AWP | 蠕虫之神 (破损不堪),AWP | Worm God (Well-Worn),34146,22467,22467,45961
双持贝瑞塔 | 血红蛋白 (略有磨损),Dual Berettas | Hemoglobin (Minimal Wear),34548,22468,22468,49058
G3SG1 | 丰饶女神 (略有磨损),G3SG1 | Demeter (Minimal Wear),34824,22469,22469,51687
双持贝瑞塔（StatTrak™） | 都市冲击 (久经沙场),StatTrak™ Dual Berettas | Urban Shock (Field-Tested),38488,22470,22470,49290
沙漠之鹰 | 遗产 (略有磨损),Desert Eagle | Heirloom (Minimal Wear),34426,22471,22471,43698
P250 | 富兰克林 (崭新出厂),P250 | Franklin (Factory New),36017,22472,22472,2297
法玛斯 | 电子脉冲 (略有磨损),FAMAS | Pulse (Minimal Wear),34667,22473,22473,43400
SSG 08（StatTrak™） | 无尽深海 (略有磨损),StatTrak™ SSG 08 | Abyss (Minimal Wear),39538,22474,22474,2417
M4A4（StatTrak™） | 杀意大名 (久经沙场),StatTrak™ M4A4 | Evil Daimyo (Field-Tested),38868,22475,22475,10935
加利尔 AR（StatTrak™） | 蓝钛 (崭新出厂),StatTrak™ Galil AR | Blue Titanium (Factory New),38647,22476,22476,47827
M4A1 消音型 | 澄澈之水 (略有磨损),M4A1-S | Bright Water (Minimal Wear),35183,22477,22477,4655
AWP | 蠕虫之神 (崭新出厂),AWP | Worm God (Factory New),34143,22478,22478,1515
MAC-10 | 烧尽 (崭新出厂),MAC-10 | Tatter (Factory New),35440,22479,22479,49830
M4A1 消音型 | 氮化处理 (久经沙场),M4A1-S | Nitro (Field-Tested),35244,22480,22480,250
法玛斯 | 冥界之憎 (久经沙场),FAMAS | Styx (Field-Tested),34685,22481,22481,46771
加利尔 AR | 经济 (破损不堪),Galil AR | Eco (Well-Worn),34917,22482,22482,3748
法玛斯 | 灯神 (破损不堪),FAMAS | Djinn (Well-Worn),34643,22483,22483,44429
加利尔 AR | 经济 (久经沙场),Galil AR | Eco (Field-Tested),34915,22484,22484,1220
FN57 | 狩猎利器 (略有磨损),Five-SeveN | Fowl Play (Minimal Wear),34735,22485,22485,48063
M4A4 | 沙漠精英 (战痕累累),M4A4 | Desert-Strike (Battle-Scarred),35275,22486,22486,49453
AK-47 | 前线迷雾 (略有磨损),AK-47 | Frontside Misty (Minimal Wear),33907,22487,22487,2104
AK-47 | 火神 (久经沙场),AK-47 | Vulcan (Field-Tested),33975,22488,22488,862
AK-47 | 火神 (略有磨损),AK-47 | Vulcan (Minimal Wear),33976,22489,22489,743
AWP | 二西莫夫 (破损不堪),AWP | Asiimov (Well-Worn),34067,22490,22490,173
AK-47 | 火神 (破损不堪),AK-47 | Vulcan (Well-Worn),33977,22491,22491,46055
FN57（StatTrak™） | 耍猴把戏 (久经沙场),StatTrak™ Five-SeveN | Monkey Business (Field-Tested),38574,22492,22492,46079
FN57（StatTrak™） | 耍猴把戏 (破损不堪),StatTrak™ Five-SeveN | Monkey Business (Well-Worn),43918,22493,22493,49483
USP 消音版 | 猎户 (久经沙场),USP-S | Orion (Field-Tested),42202,22494,22494,4251
USP 消音版 | 猎户 (略有磨损),USP-S | Orion (Minimal Wear),42203,22495,22495,35228
AK-47 | 黑色层压板 (久经沙场),AK-47 | Black Laminate (Field-Tested),33865,22496,22496,5375
M4A1 消音型 | 原子合金 (略有磨损),M4A1-S | Atomic Alloy (Minimal Wear),35162,22497,22497,46883
M4A1 消音型 | 守护者 (略有磨损),M4A1-S | Guardian (Minimal Wear),35214,22498,22498,35237
AK-47 | 红线 (久经沙场),AK-47 | Redline (Field-Tested),33960,22499,22499,1414
M4A4 | 龙王 (略有磨损),M4A4 | 龍王 (Dragon King) (Minimal Wear),35355,22500,22500,1587
AWP（StatTrak™） | 蠕虫之神 (崭新出厂),StatTrak™ AWP | Worm God (Factory New),38323,22501,22501,1179
USP 消音版 | 凯门鳄 (略有磨损),USP-S | Caiman (Minimal Wear),42163,22502,22502,43702
AK-47 | 黑色层压板 (战痕累累),AK-47 | Black Laminate (Battle-Scarred),33863,22503,22503,51567
M4A1 消音型 | 守护者 (久经沙场),M4A1-S | Guardian (Field-Tested),35213,22504,22504,50728
AK-47 | 红色层压板 (久经沙场),AK-47 | Red Laminate (Field-Tested),33956,22505,22505,45587
AWP | 狮子之日 (略有磨损),AWP | Sun in Leo (Minimal Wear),34141,22506,22506,890
AWP | 粉红 DDPAT (久经沙场),AWP | Pink DDPAT (Field-Tested),34118,22507,22507,44687
AWP | *嘣* (略有磨损),AWP | BOOM (Minimal Wear),34070,22508,22508,1943
AWP | 无畏战神 (略有磨损),AWP | Man-o'-war (Minimal Wear),34102,22509,22509,608
M4A1 消音型 | 次时代 (破损不堪),M4A1-S | Cyrex (Well-Worn),35193,22510,22510,53755
AWP | *嘣* (久经沙场),AWP | BOOM (Field-Tested),34069,22511,22511,1217
AK-47 | 前线迷雾 (久经沙场),AK-47 | Frontside Misty (Field-Tested),33906,22512,22512,2186
M4A1 消音型 | 次时代 (略有磨损),M4A1-S | Cyrex (Minimal Wear),35192,22513,22513,44812
格洛克 18 型 | 暮光星系 (略有磨损),Glock-18 | Twilight Galaxy (Minimal Wear),35065,22514,22514,45246
M4A1 消音型 | 次时代 (久经沙场),M4A1-S | Cyrex (Field-Tested),35191,22515,22515,2217
AK-47 | 深海复仇 (久经沙场),AK-47 | Aquamarine Revenge (Field-Tested),33860,22516,22516,1953
格洛克 18 型（StatTrak™） | 黑龙纹身 (崭新出厂),StatTrak™ Glock-18 | Dragon Tattoo (Factory New),38713,22517,22517,50873
AK-47 | 美洲猛虎 (久经沙场),AK-47 | Jaguar (Field-Tested),33921,22518,22518,45443
AK-47 | 前线迷雾 (破损不堪),AK-47 | Frontside Misty (Well-Worn),33908,22519,22519,51874
沙漠之鹰 | 飞行员 (久经沙场),Desert Eagle | Pilot (Field-Tested),34462,22520,22520,43709
格洛克 18 型（StatTrak™） | 蓝色裂纹 (略有磨损),StatTrak™ Glock-18 | Blue Fissure (Minimal Wear),38701,22521,22521,48021
格洛克 18 型（StatTrak™） | 水灵 (崭新出厂),StatTrak™ Glock-18 | Water Elemental (Factory New),38742,22522,22522,45524
P250 | 银装素裹 (略有磨损),P250 | Whiteout (Minimal Wear),36102,22523,22523,42971
